업소명,전화번호,도로명주소,지번주소,위도,경도,영업상태명,음식의유형,주된음식종류
샤브50,063 254-5293,전북특별자치도 전주시 덕진구 초당길 11 (호성동1가),전북특별자치도 전주시 덕진구 호성동1가 564-1 ,35.86623994,127.1498963,영업,한식,오리코스요리
샤브쌈주머니전주에코시티점,,"전북특별자치도 전주시 덕진구 세병2길 16, 2층 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 1330-4 한서빌딩 ,35.87283447,127.1255743,영업,한식,샤브샤브
소통한우,063-277-8586,전북특별자치도 전주시 덕진구 세병2길 32-14 (송천동2가),전북특별자치도 전주시 덕진구 송천동2가 0 전주00부대이전부지도시개발사업 상업1-64 ,35.87036398,127.1217368,영업,한식,구이류
스시아시타송천,,"전북특별자치도 전주시 덕진구 송천중앙로 249, 2동 1층 전체호 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 492-1 ,35.86930162,127.1206633,영업,일식,
아리랑하우스,063-241-9301,전북특별자치도 전주시 덕진구 한배미1길 29 (인후동1가),전북특별자치도 전주시 덕진구 인후동1가 939-7 ,35.82359981,127.1654791,영업,한식,소고기전골
아중도토리묵촌,063-244-1233,전북특별자치도 전주시 덕진구 동부대로 381 (우아동1가),전북특별자치도 전주시 덕진구 우아동1가 1123-11 ,35.82636491,127.1769824,영업,한식,도토리묵도가니
아중천민물장어한우,063-246-9699,"전북특별자치도 전주시 덕진구 아중천1길 24, 1층 (산정동)",전북특별자치도 전주시 덕진구 산정동 884-6 ,35.83482137,127.1720361,영업,한식,
오네뜰,,"전북특별자치도 전주시 덕진구 진기길 27, 1층 전체호 (전미동2가)",전북특별자치도 전주시 덕진구 전미동2가 1591-1 ,35.88791996,127.0935988,영업,한식,능이백숙
오동태마을반월점,063-214-8292,전북특별자치도 전주시 덕진구 쪽구름로 109 (반월동),전북특별자치도 전주시 덕진구 반월동 243-5 ,35.87375967,127.0733728,영업,한식,동태찌개
오동태마을송천점,063-251-1888,전북특별자치도 전주시 덕진구 붓내1길 5 (송천동2가),전북특별자치도 전주시 덕진구 송천동2가 529-5 ,35.86451798,127.1222109,영업,한식,동태찌개
오동태마을아중본점,,전북특별자치도 전주시 덕진구 건산로 271 (우아동2가),전북특별자치도 전주시 덕진구 우아동2가 862-4 ,35.8357392,127.1665919,영업,한식,동태탕
유한회사갑기원,063-212-5766,전북특별자치도 전주시 덕진구 상리로 50 (팔복동2가),전북특별자치도 전주시 덕진구 팔복동2가 258-3 ,35.85255192,127.1043079,영업,한식,비빔밥
육일식당송천직영점,,"전북특별자치도 전주시 덕진구 동부대로 962, 1층 일부호 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 38-2 ,35.86944529,127.1418118,영업,한식,감자탕
일등병부대찌개,063-254-8885,전북특별자치도 전주시 덕진구 백제대로 676 (금암동),전북특별자치도 전주시 덕진구 금암동 1597-34 ,35.84352501,127.143264,영업,한식,부대찌개
자금성,063-277-9965,전북특별자치도 전주시 덕진구 송천중앙로 222 (송천동2가),전북특별자치도 전주시 덕진구 송천동2가 485 ,35.86705792,127.1219725,영업,중식,자장면
자연순두부,063-271-0202,전북특별자치도 전주시 덕진구 초포다리로 54 (호성동1가),전북특별자치도 전주시 덕진구 호성동1가 664-14 ,35.86088127,127.1594645,영업,중식,짜장면
전북한우협동조합총체보리한우정육식당전주점,063-253-0200,"전북특별자치도 전주시 덕진구 숲거리길 20-12, 1,2층 (전미동1가)",전북특별자치도 전주시 덕진구 전미동1가 305-11 ,35.89336644,127.1256148,영업,한식,고기
전주쭈꾸미신화,063-245-1720,전북특별자치도 전주시 덕진구 동가재미2길 16 (인후동1가),전북특별자치도 전주시 덕진구 인후동1가 839-8 ,35.83322958,127.1621243,영업,한식,쭈꾸미볶음
정통중화요리백두산,,"전북특별자치도 전주시 덕진구 초포다리로 170, 1층 (호성동1가)",전북특별자치도 전주시 덕진구 호성동1가 362-30 ,35.87104349,127.1588147,영업,중식,간짜장
조선기와,,"전북특별자치도 전주시 덕진구 사거리길 62, 1층 (호성동1가)",전북특별자치도 전주시 덕진구 호성동1가 419 ,35.87167314,127.1573463,영업,한식,"갈비살, 꽃등심"
주식회사한상바오와갈비,063-246-2110,"전북특별자치도 전주시 덕진구 아중로 211, 1층 (우아동2가)",전북특별자치도 전주시 덕진구 우아동2가 918-10 ,35.82853065,127.1721013,영업,한식,돼지갈비
진가진설렁탕,063-251-9207,전북특별자치도 전주시 덕진구 동부대로 1022 (송천동2가),전북특별자치도 전주시 덕진구 송천동2가 54-3 ,35.86977998,127.1356846,영업,한식,탕
짬뽕지존송천점,,전북특별자치도 전주시 덕진구 송천중앙로 215 (송천동1가),전북특별자치도 전주시 덕진구 송천동1가 809-2 ,35.86617806,127.1212071,영업,중식,
참소박사,063-214-2088,"전북특별자치도 전주시 덕진구 쪽구름로 134-1, 1층 (반월동)",전북특별자치도 전주시 덕진구 반월동 401-5 ,35.87464864,127.070605,영업,한식,고기류
참예우한우명품관,063-240-2853,전북특별자치도 전주시 덕진구 견훤로 515 (호성동1가),전북특별자치도 전주시 덕진구 호성동1가 750-7 외1필지 ,35.85640605,127.1562123,영업,한식,소고기구이
채선당한가득전주송천점,,"전북특별자치도 전주시 덕진구 동부대로 962, 2층 일부호 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 38-2 ,35.86944529,127.1418118,영업,한식,샤브샤브
천하장사,063-211-0061,전북특별자치도 전주시 덕진구 온고을로 546-1 (여의동),전북특별자치도 전주시 덕진구 여의동 1263-32 ,35.8555154,127.0707837,영업,한식,비빔밥
초원갈비,063-242-8811,전북특별자치도 전주시 덕진구 동부대로 651 (우아동3가),전북특별자치도 전주시 덕진구 우아동3가 257-5 ,35.84689039,127.161682,영업,한식,"갈비탕, 찜"
콩각시굴신랑,063-278-1378,전북특별자치도 전주시 덕진구 숲정이5길 11 (진북동),전북특별자치도 전주시 덕진구 진북동 434-33 ,35.83206975,127.1344993,영업,한식,콩나물국밥
킹콩부대찌개전주아중점,063-242-2952,전북특별자치도 전주시 덕진구 아중로 127 (인후동1가),전북특별자치도 전주시 덕진구 인후동1가 913-3 ,35.82550611,127.1635334,영업,한식,"샤브샤브, 월남쌈"
평양면옥,063-254-5888,전북특별자치도 전주시 덕진구 솔내8길 10-3 (송천동1가),전북특별자치도 전주시 덕진구 송천동1가 484-8 ,35.86068018,127.1224524,영업,한식,냉면
하누마을,063-245-8292,전북특별자치도 전주시 덕진구 아중3길 21 (우아동2가),전북특별자치도 전주시 덕진구 우아동2가 908-10 ,35.82990538,127.1714784,영업,한식,소고기구이
하누야,063-275-0092,전북특별자치도 전주시 덕진구 발단길 10 (송천동2가),전북특별자치도 전주시 덕진구 송천동2가 653 ,35.87099376,127.115429,영업,한식,소고기구이
한가람,063-251-3535,전북특별자치도 전주시 덕진구 송천중앙로 51 (덕진동2가),전북특별자치도 전주시 덕진구 덕진동2가 2-2 ,35.85165356,127.1193633,영업,한식,갈비살구이
한가람금암점,063-253-0988,"전북특별자치도 전주시 덕진구 기린대로 365, 1동 1층 (금암동)",전북특별자치도 전주시 덕진구 금암동 462-4 외1필지 1동 1층 ,35.83546726,127.1344403,영업,한식,돼지갈비
한가족한방족발,063-253-8588,전북특별자치도 전주시 덕진구 붓내3길 17-1 (송천동2가),전북특별자치도 전주시 덕진구 송천동2가 244-25 1층 ,35.8669329,127.1233691,영업,한식,족발
한국관,063-272-9229,전북특별자치도 전주시 덕진구 기린대로 425 (금암동),전북특별자치도 전주시 덕진구 금암동 712-3 712-8번지 ,35.83908241,127.1295639,영업,한식,비빔밥
한솔본가,063-213-7878,"전북특별자치도 전주시 덕진구 덕용2길 41, 1층 (동산동)",전북특별자치도 전주시 덕진구 여의동2가 593 ,35.87153226,127.0802643,영업,한식,"고기류,탕"
해이루,063-272-1829,전북특별자치도 전주시 덕진구 명륜5길 9 (덕진동1가),전북특별자치도 전주시 덕진구 덕진동1가 1277-14 ,35.84371132,127.1253069,영업,한식,감자탕
현대옥송천농수산시장점,063-276-0099,"전북특별자치도 전주시 덕진구 송천중앙로 233-20 (송천동2가, 외1필지)",전북특별자치도 전주시 덕진구 송천동2가 493 외1필지 ,35.86801013,127.1190719,영업,한식,콩나물국밥
현대옥아중점,063-284-0099,전북특별자치도 전주시 덕진구 무삼지4길 14 (인후동1가),전북특별자치도 전주시 덕진구 인후동1가 915-8 ,35.82612649,127.1646115,영업,한식,
현대옥전주송천에코시티점,,"전북특별자치도 전주시 덕진구 세병1길 32, 1층 108,109호 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 1327-4 ,35.87352962,127.1269731,영업,한식,
화심장어아중점,063-245-6592,전북특별자치도 전주시 덕진구 인교9길 21-14 (우아동1가),전북특별자치도 전주시 덕진구 우아동1가 1116-9 ,35.82702926,127.1752822,영업,한식,장어구이
황금코다리송천점,,"전북특별자치도 전주시 덕진구 동부대로 962, 1층 일부호 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 38-2 ,35.86944529,127.1418118,영업,한식,코다리찜
황씨네대가추어탕,063-255-3773,"전북특별자치도 전주시 덕진구 송천로 47, 1동 1층 (송천동1가)",전북특별자치도 전주시 덕진구 송천동1가 326-2 ,35.85746621,127.1180259,영업,한식,추어탕
가족회관, 063- 284-0982,전북특별자치도 전주시 완산구 전라감영5길 17 (중앙동3가),전북특별자치도 전주시 완산구 중앙동3가 80 ,,,영업,한식,비빔밥
감로헌, 063-275 -8811,"전북특별자치도 전주시 완산구 현무1길 20, 1층 (경원동3가)","전북특별자치도 전주시 완산구 경원동3가 14-2 한국전통문화전당, 한지산업지원센터 ",,,영업,한식,약선 한식
거기가바이런아구저런코다리,063 -224 -8999,"전북특별자치도 전주시 완산구 천잠로 139, 1층 (효자동2가)",전북특별자치도 전주시 완산구 효자동2가 816 ,,,영업,한식,코다리찜
고궁담,063 - 228-3711,"전북특별자치도 전주시 완산구 유연로 170, 2-3층 (효자동3가)",전북특별자치도 전주시 완산구 효자동3가 1627-1 ,,,영업,한식,비빔밥
고젠일식,063 -223 -1770,"전북특별자치도 전주시 완산구 마전2길 5-4, 2층 (효자동3가)",전북특별자치도 전주시 완산구 효자동3가 1646-4 ,,,영업,일식,"생선회,참치회"
고창심원풍천장어,063 -223 -9889,전북특별자치도 전주시 완산구 신촌2길 26 (중화산동2가),전북특별자치도 전주시 완산구 중화산동2가 482-4 ,,,영업,한식,장어구이
교동떡갈비,063 -288 -2232,전북특별자치도 전주시 완산구 은행로 52 (풍남동3가),전북특별자치도 전주시 완산구 풍남동3가 73-2 ,,,영업,한식,떡갈비
구이로,063 -229 -7758,"전북특별자치도 전주시 완산구 모악로 4647, 1층 (평화동2가)",전북특별자치도 전주시 완산구 평화동2가 458-61 ,,,영업,한식,"뚝배기불고기, 오징어볶음"
궁, 063- 227-0844,"전북특별자치도 전주시 완산구 천잠로 337, 1,2,3층 (효자동3가)",전북특별자치도 전주시 완산구 효자동3가 1188-1 ,,,영업,한식,한정식
귀빈갈비, 063- 228-9992,"전북특별자치도 전주시 완산구 난전들로 156-14, 1층 (평화동3가)",전북특별자치도 전주시 완산구 평화동3가 246-13 서린자연어린이집 ,,,영업,한식,돼지갈비
금암면옥 신시가지점,,"전북특별자치도 전주시 완산구 홍산남로 71, 1층 101호일부호 (효자동3가)",전북특별자치도 전주시 완산구 효자동3가 1539-1 ,,,영업,한식,"칼국수,돌솥비빔밥"
꽃마름 중화산점,,"전북특별자치도 전주시 완산구 서원로 339, 2층 (중화산동1가)",전북특별자치도 전주시 완산구 중화산동1가 321-10 2층 ,,,영업,한식,샤브샤브
꾸지뽕시대,063 -224 -9970,전북특별자치도 전주시 완산구 소태정3길 9-4 (효자동2가),전북특별자치도 전주시 완산구 효자동2가 1210-3 ,,,영업,한식,닭백숙
남원본가추어탕, 063- 225-3357,전북특별자치도 전주시 완산구 신촌4길 18 (중화산동2가),전북특별자치도 전주시 완산구 중화산동2가 774-5 ,,,영업,한식,추어탕
다미원, 063- 283-0121,전북특별자치도 전주시 완산구 장승배기로 287-4 (평화동1가),전북특별자치도 전주시 완산구 평화동1가 413-2 ,,,영업,중식,"짜장면, 탕수육"
다산돼지와낙지,063 -221 -7005,전북특별자치도 전주시 완산구 홍산북로 83-9 (효자동3가),전북특별자치도 전주시 완산구 효자동3가 1530-5 ,,,영업,한식,양푼돼지갈비
다송일식,063 -244 -8885,"전북특별자치도 전주시 완산구 석산1길 6-23 (효자동3가,3층)",전북특별자치도 전주시 완산구 효자동3가 1697-6 3층 ,,,영업,일식,"회,초밥"
다오리숯불구이,,"전북특별자치도 전주시 완산구 우림로 1083, 1층 (삼천동2가)",전북특별자치도 전주시 완산구 삼천동2가 373-2 ,,,영업,한식,"통오리숯불구이,소갈비찜"
뜰안,,"전북특별자치도 전주시 완산구 중인1길 24, 1층 (중인동)",전북특별자치도 전주시 완산구 중인동 216 ,,,영업,한식,쌈밥
라라코스트(전북도청점),063 -228 -3230,전북특별자치도 전주시 완산구 홍산남로 73 (효자동3가),전북특별자치도 전주시 완산구 효자동3가 1539-2 ,,,영업,경양식,"피자,파스타"
만성한정식, 063- 232-4141,"전북특별자치도 전주시 완산구 바우배기1길 31-9, 2층 (효자동2가)",전북특별자치도 전주시 완산구 효자동2가 1243-8 ,,,영업,한식,한정식
명가등심1호,063 - 223-1122,"전북특별자치도 전주시 완산구 석산1길 6-7, 1층 (효자동3가)",전북특별자치도 전주시 완산구 효자동3가 1698-6 ,,,영업,한식,소고기
명문, 063- 229-8500,전북특별자치도 전주시 완산구 신촌4길 9-6 (중화산동2가),전북특별자치도 전주시 완산구 중화산동2가 781-3 ,,,영업,한식,"장어덮밥,장어"
모악산한우정육식당,063 -228 -8723,"전북특별자치도 전주시 완산구 모악로 4721, 2층 (평화동2가)",전북특별자치도 전주시 완산구 평화동2가 850-7 ,,,영업,한식,소고기
무시로감자탕(본점),,"전북특별자치도 전주시 완산구 한두평4길 17, 1층 (중화산동2가)",전북특별자치도 전주시 완산구 중화산동2가 658-7 ,,,영업,한식,감자탕
반야돌솥밥(본점), 063- 288-3174,전북특별자치도 전주시 완산구 홍산1길 6 (효자동2가),전북특별자치도 전주시 완산구 효자동2가 1156-6 ,,,영업,한식,돌솥비빔밥
백번집, 063- 286-0100,전북특별자치도 전주시 완산구 전라감영2길 15 (다가동1가),전북특별자치도 전주시 완산구 다가동1가 44-7 ,,,영업,한식,한정식
백제성숯불구이정육식당,063 -221 -8592,"전북특별자치도 전주시 완산구 홍산2길 5-8, 1층 제101호,제102호,제103호,제104호 (효자동3가)",전북특별자치도 전주시 완산구 효자동3가 1543-1 ,,,영업,한식,"한우,한돈구이"
보배반점 전주평화점,,"전북특별자치도 전주시 완산구 모악로 4649, 1층 (평화동2가)",전북특별자치도 전주시 완산구 평화동2가 458-10 ,,,영업,중식,"짜장면,짬뽕"
북창동순두부 전주서신점,063 -271 -2317,전북특별자치도 전주시 완산구 새터로 122-9 (서신동),전북특별자치도 전주시 완산구 서신동 968-9 ,,,영업,한식,순두부찌개
사랑오리,063 -229 -8877,"전북특별자치도 전주시 완산구 쑥고개로 241-6, 1~2층 (효자동2가)",전북특별자치도 전주시 완산구 효자동2가 883 ,,,영업,한식,오리주물럭
삼백집, 063- 284-2227,전북특별자치도 전주시 완산구 전주객사2길 22 (고사동),전북특별자치도 전주시 완산구 고사동 454-1 ,,,영업,한식,콩나물국밥
샤브향중화산점,063 -226 -4445,,전북특별자치도 전주시 완산구 중화산동2가 485-94 외2필지 2층 ,,,영업,한식,버섯샤브샤브
서해해물칼국수, 063- 903-1212,"전북특별자치도 전주시 완산구 견훤왕궁로 63, 1층 (중노송동)",전북특별자치도 전주시 완산구 중노송동 354-8 ,,,영업,한식,해물칼국수
섬진강,063 -224 -8621,"전북특별자치도 전주시 완산구 산월1길 5, 1층 (중화산동2가)",전북특별자치도 전주시 완산구 중화산동2가 533-6 ,,,영업,한식,"민물매운탕,백숙"
세엄마칼국수 삼천점,063 - 237-1199,"전북특별자치도 전주시 완산구 계룡산길 50, 1층 (삼천동2가)",전북특별자치도 전주시 완산구 삼천동2가 226-1 ,,,영업,한식,칼국수
세종대왕항아리바베큐,,"전북특별자치도 전주시 완산구 최명희길 1, 지하1층 (풍남동3가)",전북특별자치도 전주시 완산구 풍남동3가 23-7 ,,,영업,기타,"갈비탕, 항아리바베큐"
소담촌전주효자점,063 -226 -4747,"전북특별자치도 전주시 완산구 홍산로 249, 대신빌딩 4층 (효자동2가)",전북특별자치도 전주시 완산구 효자동2가 1239-5 ,,,영업,기타,"월남쌈, 샤브샤브"
솔가숯불갈비신시가지점, 063- 225-1116,"전북특별자치도 전주시 완산구 석산2길 17-15, 1층 (효자동3가)",전북특별자치도 전주시 완산구 효자동3가 1697-2 ,,,영업,한식,"돼지갈비,소갈비"
송림일식, 063- 287-0854,전북특별자치도 전주시 완산구 전라감영3길 12-9 (중앙동2가),전북특별자치도 전주시 완산구 중앙동2가 43-3 ,,,영업,일식,생선회
송정원, 063- 283-7663,전북특별자치도 전주시 완산구 은행로 20-1 (풍남동1가),전북특별자치도 전주시 완산구 풍남동1가 55-3 ,,,영업,한식,한정식
신뱅이,063 -282 -3030,전북특별자치도 전주시 완산구 경기전길 153-9 (교동),전북특별자치도 전주시 완산구 교동 98-1 ,,,영업,한식,"비빔밥, 콩나물국밥"
씨제이푸드빌(주)빕스 전주점, 063- 252-1997,전북특별자치도 전주시 완산구 백제대로 382 (서신동),전북특별자치도 전주시 완산구 서신동 997-10 ,,,영업,뷔페식,뷔페
아구세상효천점, 063- 222-1332,"전북특별자치도 전주시 완산구 천잠로 63, 1층 (삼천동2가)",전북특별자치도 전주시 완산구 삼천동2가 73-1 ,,,영업,한식,"아구,해물찜"
양지본가,063 -236 -5500,전북특별자치도 전주시 완산구 장교마을길 48-32 (평화동3가),전북특별자치도 전주시 완산구 평화동3가 241-8 ,,,영업,한식,흑염소탕
양평해장국 효자점, 063- 228-5949,전북특별자치도 전주시 완산구 거마평로 180 (효자동1가),전북특별자치도 전주시 완산구 효자동1가 382 ,,,영업,한식,"선짓국,뼈해장국"
양평해장국 효천점,,"전북특별자치도 전주시 완산구 우전로 91, 1층 (효자동2가)",전북특별자치도 전주시 완산구 효자동2가 1212-4 ,,,영업,한식,"해장국,뼈다귀탕"
어사랑회앤초밥, 063- 228-0015,전북특별자치도 전주시 완산구 장승배기로 2-27 (삼천동1가),전북특별자치도 전주시 완산구 삼천동1가 417-7 ,,,영업,일식,"초밥, 우동"
연가,063 -228 -3301,"전북특별자치도 전주시 완산구 어은로 28, 2,3층 (중화산동2가)",전북특별자치도 전주시 완산구 중화산동2가 199-23 ,,,영업,한식,버섯전골
연남물갈비,0507-1390-4994,"전북특별자치도 전주시 완산구 효자로 178 (효자동2가,2층)",전북특별자치도 전주시 완산구 효자동2가 1228-7 2층 ,,,영업,한식,"물갈비, 불고기"
예우랑중산점, 063- 225-3201,전북특별자치도 전주시 완산구 효자로 333 (중화산동2가),전북특별자치도 전주시 완산구 중화산동2가 579-7 ,,,영업,한식,삼계탕
오늘은장어야 (삼천점), 063-2370-592,"전북특별자치도 전주시 완산구 천잠로 13, 1층 (삼천동2가)",전북특별자치도 전주시 완산구 삼천동2가 273 ,,,영업,한식,장어구이
오복면가(오복냉면), 063- 901-5292,"전북특별자치도 전주시 완산구 천잠로 13 (삼천동2가, 293-1)",전북특별자치도 전주시 완산구 삼천동2가 273-1 ,,,영업,한식,"냉면, 갈비탕"
왕본참치,063 -221 -3792,"전북특별자치도 전주시 완산구 홍산남로 69-7, 202호 (효자동3가)",전북특별자치도 전주시 완산구 효자동3가 1536-5 202호,,,영업,일식,참치회
왱이집, 063- 287-6980,전북특별자치도 전주시 완산구 동문길 88 (경원동2가),전북특별자치도 전주시 완산구 경원동2가 12-1 ,,,영업,한식,콩나물국밥
우가원정육식당,,"전북특별자치도 전주시 완산구 계룡산길 28-4, 1층~2층 (삼천동2가)",전북특별자치도 전주시 완산구 삼천동2가 216-10 ,,,영업,한식,"육회비빔밥,갈비탕"
우림칼국수 전주점,,"전북특별자치도 전주시 완산구 백제대로 272, 1층 (중화산동2가)",전북특별자치도 전주시 완산구 중화산동2가 652-3 ,,,영업,한식,칼국수
이래면옥, 063- 288-6644,전북특별자치도 전주시 완산구 동문길 103 (경원동1가),전북특별자치도 전주시 완산구 경원동1가 113-5 ,,,영업,한식,"냉면, 갈비탕"
일송정,063 -223 -9393,"전북특별자치도 전주시 완산구 중화산로 49 (중화산동2가,외1필지)",전북특별자치도 전주시 완산구 중화산동2가 441-1 외1필지 ,,,영업,한식,"갈비탕,육회비빔밥"
장수버섯마을,063 -227 -8184,전북특별자치도 전주시 완산구 영경1길 15 (중화산동2가),전북특별자치도 전주시 완산구 중화산동2가 238-1 외 1필지 ,,,영업,한식,버섯전골
전동떡갈비앤브리즈, 063- 232-5500,"전북특별자치도 전주시 완산구 전동성당길 66, 1,2,3층 (전동)",전북특별자치도 전주시 완산구 전동 16-2 돌담길 ,,,영업,한식,떡갈비정식
전주만월,063 -231 -3800,전북특별자치도 전주시 완산구 최명희길 3 (풍남동3가),전북특별자치도 전주시 완산구 풍남동3가 23-10 ,,,영업,한식,갈비탕
전주옥정호,063 -229 -5111,"전북특별자치도 전주시 완산구 장교로 23-7 (평화동3가,외1필지)",전북특별자치도 전주시 완산구 평화동3가 697 외1필지 ,,,영업,한식,"능이백숙,민물매운탕"
정든집 김여사네,063 - 237-1160,"전북특별자치도 전주시 완산구 신촌4길 5, 1층~2층 (중화산동2가)",전북특별자치도 전주시 완산구 중화산동2가 779-1 ,,,영업,한식,동태찌개
종로회관, 063- 288-4578,"전북특별자치도 전주시 완산구 전동성당길 98, 1-2층 (전동)",전북특별자치도 전주시 완산구 전동 60-1 ,,,영업,한식,비빔밥
주식회사 육일식당, 063- 221-3687,"전북특별자치도 전주시 완산구 천잠로 17, 1층 (삼천동2가)",전북특별자치도 전주시 완산구 삼천동2가 275-3 ,,,영업,한식,감자탕
청담일식,063 -241 -5000,전북특별자치도 전주시 완산구 석산2길 5-10 (효자동3가),전북특별자치도 전주시 완산구 효자동3가 1696-9 2층 ,,,영업,일식,일식코스요리
청정오리떼, 063- 251-9252,전북특별자치도 전주시 완산구 새터로 1 (서신동),전북특별자치도 전주시 완산구 서신동 932-1 ,,,영업,한식,오리구이류
코다리명가 전주본점,063 -256 -3001,"전북특별자치도 전주시 완산구 공북로 101-3, 1층 (서노송동)",전북특별자치도 전주시 완산구 서노송동 655-7 전북소망교회 ,,,영업,한식,코다리조림
큰가마,063 -286 -6003,전북특별자치도 전주시 완산구 노송광장로 46 (서노송동),전북특별자치도 전주시 완산구 서노송동 568-106 ,,,영업,한식,갈비탕
킹스대게(도청점),063 -224 -6998,"전북특별자치도 전주시 완산구 홍산남로 71, 2층 (효자동3가)",전북특별자치도 전주시 완산구 효자동3가 1539-1 ,,,영업,양식,"킹크랩,랍스타"
태조밥상,063 -288 -4004,전북특별자치도 전주시 완산구 경기전길 122 (교동),전북특별자치도 전주시 완산구 교동 268 ,,,영업,한식,"비빔밥, 떡갈비"
투리스타 브런치 삼천점,,"전북특별자치도 전주시 완산구 안행로 16, 1층 106호,107호,108호 (삼천동1가)",전북특별자치도 전주시 완산구 삼천동1가 745-1 ,,,영업,양식,"불고기크림파스타, 토마토파스타"
팔도수제도시락앤출장케이터링, 063- 255-5001,전북특별자치도 전주시 완산구 서신천변1길 25 (서신동),전북특별자치도 전주시 완산구 서신동 842-16 ,,,영업,한식,참게장
풀꽃세상채식뷔페, 063- 221-4432,전북특별자치도 전주시 완산구 우림로 1036-13 (중인동),전북특별자치도 전주시 완산구 중인동 55-1 ,,,영업,뷔페식,채식뷔페
풍남문한우촌, 063- 288-6020,전북특별자치도 전주시 완산구 팔달로 119-4 (전동),전북특별자치도 전주시 완산구 전동 187-6 ,,,영업,한식,"소고기, 갈비탕"
풍남정,063 -285 -7782,전북특별자치도 전주시 완산구 태조로 52 (전동),전북특별자치도 전주시 완산구 전동 71-1 ,,,영업,한식,비빔밥
풍전콩나물국밥, 063- 231-0730,"전북특별자치도 전주시 완산구 동문길 73, 1층 (경원동2가)",전북특별자치도 전주시 완산구 경원동2가 26-3 외1필지 ,,,영업,한식,콩나물국밥
프리모파스타,063 -225 -6688,"전북특별자치도 전주시 완산구 홍산3길 7, 2층 (효자동3가)",전북특별자치도 전주시 완산구 효자동3가 1527-7 ,,,영업,경양식,"파스타,피자"
프리미엄쌈가,063 -224 -2040,"전북특별자치도 전주시 완산구 우림로 1054, 1층 (중인동)",전북특별자치도 전주시 완산구 중인동 60 ,,,영업,한식,쌈밥
하늘천숯불갈비전주혁신점,063 -237 -0292,전북특별자치도 전주시 완산구 콩쥐팥쥐로 1599 (상림동),전북특별자치도 전주시 완산구 상림동 85 ,,,영업,한식,삼겹살구이
한국집, 063- 284-2224,전북특별자치도 전주시 완산구 어진길 119 (전동),전북특별자치도 전주시 완산구 전동 2-1 ,,,영업,한식,비빔밥
한상바오와갈비 신시가지점,063 -227 -0707,"전북특별자치도 전주시 완산구 효자로 173, 1층 101호~104호 (효자동3가)",전북특별자치도 전주시 완산구 효자동3가 1699-5 ,,,영업,한식,"갈비구이, 냉면"
한상바오와갈비평화본점, 063- 225-0933,전북특별자치도 전주시 완산구 장승배기로 224 (평화동1가),전북특별자치도 전주시 완산구 평화동1가 712-3 ,,,영업,한식,갈비
한양불고기, 063- 228-8011,"전북특별자치도 전주시 완산구 우전2길 6, 1층 (효자동2가)",전북특별자치도 전주시 완산구 효자동2가 220-12 ,,,영업,한식,불고기
한옥메밀가,,"전북특별자치도 전주시 완산구 은행로 16, 1~2층 (풍남동1가)",전북특별자치도 전주시 완산구 풍남동1가 53-3 ,,,영업,기타,"한식, 소바, 돈가스"
할매집곰탕, 063- 236-0022,"전북특별자치도 전주시 완산구 선너머로 4, 1층 (중화산동2가)",전북특별자치도 전주시 완산구 중화산동2가 186-3 ,,,영업,한식,곰탕
형제골뼈다귀순대국,063 -225 -8880,"전북특별자치도 전주시 완산구 장승배기로 154, 존슨썬팅 1층 (평화동2가)",전북특별자치도 전주시 완산구 평화동2가 842-9 존슨썬팅 ,,,영업,한식,순대국밥
호림이네,063 -285 -4007,전북특별자치도 전주시 완산구 춘향로 5152 (색장동),전북특별자치도 전주시 완산구 색장동 429 ,,,영업,한식,한정식
호순이감자탕, 063-221 -2489,,전북특별자치도 전주시 완산구 삼천동1가 284-1 ,,,영업,한식,감자탕
화심순두부 전주점,063 -231 -6500,"전북특별자치도 전주시 완산구 서원로 339, 지하1층~1층일부층 (중화산동1가)",전북특별자치도 전주시 완산구 중화산동1가 321-10 화심순두부 ,,,영업,한식,순두부찌개
화양골,0507-1496-1055,"전북특별자치도 전주시 완산구 우림로 1042, 1층, 2층 (중인동)",전북특별자치도 전주시 완산구 중인동 58 ,,,영업,한식,매운갈비찜
효자해물칼국수,,"전북특별자치도 전주시 완산구 쑥고개로 185-12, 주건축물제1동 1층 (삼천동3가)",전북특별자치도 전주시 완산구 삼천동3가 296-1 ,,,영업,한식,"바지락칼국수,해물칼국수"
흑두부이야기, 063- 273-2332,전북특별자치도 전주시 완산구 서곡2길 30-19 (효자동3가),전북특별자치도 전주시 완산구 효자동3가 1470-1 ,,,영업,한식,"흑두부보쌈, 전골"
