공연장명칭,도로명주소,지번주소,위도,경도,공연장전화번호,영업상태,공공 공연장,공연장면적,무대면적,객석수,구동식 기구수,고정식 기구수,데이터기준일자
국립무형유산원 대공연장,전북특별자치도 전주시 완산구 서학로 95,전북특별자치도 전주시 완산구 동서학동 896-1,35.80986195,127.1596492,063-280-1400,영업중,Y,828,828,400,59,0,2025-01-31
국립무형유산원 소공연장,전북특별자치도 전주시 완산구 서학로 95,전북특별자치도 전주시 완산구 동서학동 896-1,35.80986195,127.1596492,063-280-1424,영업중,Y,193,193,200,21,0,2025-01-31
김영오 아트센터,전북특별자치도 전주시 완산구 홍산북로 23-9,전북특별자치도 전주시 완산구 효자동2가 1230-3,35.81814799,127.1042953,063-227-8287,영업중,N,277,276.95,190,0,0,2025-01-31
더 클래식 아트홀,전북특별자치도 전주시 완산구 백제대로 299,전북특별자치도 전주시 완산구 중화산동2가 579,35.81994129,127.1224707,,영업중,N,18,18,80,0,0,2025-01-31
마당창극 야외공연장,전북특별자치도 전주시 완산구 전주천동로 20,전북특별자치도 전주시 완산구 교동 7-1,35.81224642,127.1590306,063-280-7012,영업중,Y,100,,265,0,0,2025-01-31
문화공간이룸,전북특별자치도 전주시 완산구 용머리로 36,전북특별자치도 전주시 완산구 효자동1가 454-1,35.80551485,127.1144693,063-223-5323,영업중,N,33,33.05,130,0,2,2025-01-31
문화예술공간 예인,전북특별자치도 전주시 완산구 유연로 260,전북특별자치도 전주시 완산구 중화산동2가 743-1,35.82517452,127.1139835,063-232-8800,영업중,N,22,,50,0,0,2025-01-31
바인홀,전북특별자치도 전주시 완산구 안행로 14,전북특별자치도 전주시 완산구 삼천동1가 745-4,35.79995717,127.1301029,063-232-6107,영업중,N,27,,156,0,0,2025-01-31
서학예술극장,전북특별자치도 전주시 완산구 장승배기로 342,전북특별자치도 전주시 완산구 서서학동 359,35.80245943,127.1481815,063-231-8881,영업중,N,155,,65,0,0,2025-01-31
아하아트홀,전북특별자치도 전주시 완산구 전주객사4길 74-11,전북특별자치도 전주시 완산구 고사동 238,35.82127972,127.1435223,063-274-7114,영업중,N,38,38,60,0,3,2025-01-31
오거리 소극장,전북특별자치도 전주시 완산구 전주객사5길 67,전북특별자치도 전주시 완산구 고사동 213-3,35.82108202,127.1446175,063-286-4207,영업중,N,78,,60,0,0,2025-01-31
울림문화공간,전북특별자치도 전주시 완산구 영경1길 17,전북특별자치도 전주시 완산구 중화산동2가 256,35.81831783,127.1248588,063-903-3056,영업중,N,35,34.65,100,0,0,2025-01-31
전라북도예술회관,전북특별자치도 전주시 완산구 팔달로 161,전북특별자치도 전주시 완산구 경원동1가 104-5,35.81682307,127.1471092,063-286-2678,영업중,Y,195,194.76,357,12,0,2025-01-31
전주대사습청,전북특별자치도 전주시 완산구 한지길 56,전북특별자치도 전주시 완산구 풍남동3가 32-3,35.81779629,127.1532807,063-288-0771,영업중,Y,56,,200,0,0,2025-01-31
창작 소극장,전북특별자치도 전주시 완산구 동문길 100,전북특별자치도 전주시 완산구 경원동1가 12-4,35.81813082,127.1485548,063-282-1810,영업중,N,50,49.5,90,0,3,2025-01-31
한국전통문화전당 공연장,전북특별자치도 전주시 완산구 현무1길 20,전북특별자치도 전주시 완산구 경원동3가 14-2,35.8205657,127.1482307,063-232-2556,영업중,Y,223,223.47,228,21,4,2025-01-31
한벽공연장,전북특별자치도 전주시 완산구 전주천동로 20,전북특별자치도 전주시 완산구 교동 7-1,35.81224642,127.1590306,063-280-7051,영업중,Y,196,196,235,13,2,2025-01-31
한옥마을 아트홀,전북특별자치도 전주시 완산구 경기전길 42,전북특별자치도 전주시 완산구 경원동2가 61-1,35.81757891,127.1502802,062-282-1033,영업중,N,27,22.7,60,20,1,2025-01-31
한해랑아트홀,전북특별자치도 전주시 완산구 홍산중앙로 13,전북특별자치도 전주시 완산구 효자동2가 1155-10,35.81486959,127.1087402,,영업중,N,67,67,199,0,24,2025-01-31
전통혼례청,전북특별자치도 전주시 완산구 전주천동로 20,전북특별자치도 전주시 완산구 교동 7-1 ,,,063-280-7012,영업중,Y,60,60,200,0,0,2025-01-31
한옥마을 인형극체험관,전북특별자치도 전주시 완산구 은행로 65-8,전북특별자치도 전주시 완산구 교동 63-11 ,,,063-281-2224,영업중,Y,21,21,50,0,0,2025-01-31
전주 아트 살롱,"전북특별자치도 전주시 완산구 전라감영3길 17, 지하1층",전북특별자치도 전주시 완산구 중앙동1가 19-1 ,,,,,N,33.05,33.05,60,0,0,2025-01-31
J Art Hall,전북특별자치도 전주시 덕진구 오송1길 37-5,전북특별자치도 전주시 덕진구 송천동1가 98,35.86323274,127.1305801,,영업중,N,157.88,16,40,0,0,2025-01-31
JRJA 전주로이재즈아트홀,전북특별자치도 전주시 덕진구 견훤로 405,전북특별자치도 전주시 덕진구 인후동2가 1572-23,35.84714852,127.1520224,,영업중,N,72,24,30,0,0,2025-01-31
덕진예술회관,전북특별자치도 전주시 덕진구 권삼득로 407,전북특별자치도 전주시 덕진구 덕진동2가 190-1,35.84775174,127.119375,063-281-6650,영업중,Y,750,163,486,29,0,2025-01-31
우진문화공간 예술극장,전북특별자치도 전주시 덕진구 전주천동로 376,전북특별자치도 전주시 덕진구 진북동 1062-3,35.8275192,127.1304111,063-272-7223,영업중,N,282,119.7,175,4,4,2025-01-31
전북특별자치도어린이창의체험관,전북특별자치도 전주시 덕진구 조경단로 258-18,전북특별자치도 전주시 덕진구 송천동1가 234-5,35.85554178,127.1282525,063-270-6660,영업중,Y,342,88.45,242,14,1,2025-01-31
전북대삼성문화회관,전북특별자치도 전주시 덕진구 권삼득로 290,전북특별자치도 전주시 덕진구 금암동 665,35.84327452,127.1300175,063-270-2240,영업중,Y,2055,960,1493,63,0,2025-01-31
한국소리문화전당 명인홀,전북특별자치도 전주시 덕진구 소리로 31,전북특별자치도 전주시 덕진구 덕진동1가 산 1-1,35.85477195,127.1393284,063-270-7800,영업중,Y,342,146,206,27,0,2025-01-31
한국소리문화전당 모악당,전북특별자치도 전주시 덕진구 소리로 31,전북특별자치도 전주시 덕진구 덕진동1가 산 1-1,35.85477195,127.1393284,063-270-7800,영업중,Y,3731,1930,2037,120,0,2025-01-31
한국소리문화전당 야외공연장,전북특별자치도 전주시 덕진구 소리로 31,전북특별자치도 전주시 덕진구 덕진동1가 산 1-1,35.85477195,127.1393284,063-270-8000,영업중,Y,2884,334.1,7000,5,0,2025-01-31
한국소리문화전당 연지홀,전북특별자치도 전주시 덕진구 소리로 31,전북특별자치도 전주시 덕진구 덕진동1가 산 1-1,35.85477195,127.1393284,063-270-7800,영업중,Y,1491,760,666,70,0,2025-01-31
예술공간 휘게,"전북특별자치도 전주시 덕진구 와룡로 30, 지하1층 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 543-7 ,35.86000001,127.1100001,,영업중,N,197.3,23.15,50,0,0,2025-01-31
