연번,구분,시 설 명,소 재 지,객실수,전화번호,홈페이지,부대시설,주변관광지,데이터기준일
1,관광호텔,전주호텔한성,전주시 완산구 전주객사5길 44-5,40,063-288-0014,hansunghotel.alltheway.kr,"세미나실, 조식식당","전주객사, 영화의 거리, 한옥마을",2015-08-30
2,관광호텔,화이트관광호텔,전주시 덕진구 전주천동로 501,35,063-271-0123,whitehotel.kr,"세미나룸, 브랙퍼스트바","전주한옥마을, 덕진공원",2015-08-30
3,관광호텔,궁관광호텔,전주시 덕진구 용산1길 17-4,30,063-255-3311,www.jjgung.co.kr,"세미나룸, 비즈니스룸, 한식당","전주한옥마을, 덕진공원",2015-08-30
4,관광호텔,풍남관광호텔,전주시 완산구 객사2길 45-7,63,063-231-7900,www.pungnamhotel.com,"연회장, 커피숍, 인터넷센터","전주한옥마을, 전주객사, 영화의 거리",2015-08-30
5,관광호텔,전주관광호텔,전주시 완산구 객사5길 44-5,46,063-280-7700,jeonjuhotel.co.kr,"웨딩홀, 연회장, 건식사우나실","전주하옥마을, 전동성당, 남부시장",2015-08-30
6,관광호텔,해뜨는언덕 관광호텔,군산시 부곡3길 6,40,063-468-0707,www.fmotel.co.kr,"비즈니스실, 휴게실","군산근대역사박물관, 새만금방조제",2015-08-30
7,관광호텔,채석강스타힐스 호텔,부안군 변산면 채석강길 33,35,063-581-9911,www.starhillshotel.com,"마사지실, 식음료장, 바베큐장, 노래연습장","채석강, 내소사, 부안영상테마파크",2015-08-30
8,굿스테이,라뉘호텔,전주시 덕진구 송천중앙로 12-4,32,063-253-5707,www.lanuit.co.kr,없음,"전주덕진공원, 전주한옥마을",2015-08-30
9,굿스테이,르시엘호텔,전주시 덕진구 산정2길 23,32,063-245-4848,www.lecielhotel.co.kr,없음,"전주한옥마을, 전주덕진공원",2015-08-30
10,굿스테이,아리랑호텔,전주시 덕진구 용산2길 17-6,32,063-273-4193,www.jj-arirang.co.kr,"세미나실, 비즈니스실","전주덕진공원, 전주한옥마을, 동물원",2015-08-30
11,굿스테이,카멜리아,전주시 덕진구 산정1길 12-4,33,063-243-9900,www.camelliahotel.kr,비즈니스센터,"전주한옥마을, 전주덕진공원, 동물원",2015-08-30
12,굿스테이,호텔린하우스,전주시 덕진구 산정2길 6-4,32,063-244-5585,www.hotellynn.kr,없음,"전주한옥마을, 전주동물원, 전주덕진공원",2015-08-30
13,굿스테이,전주호텔,전주시 덕진구 산정2길 31,32,063-247-3333,hoteljeonju.com,없음,"전주한옥마을, 전주동물원, 전주덕진공원",2015-08-30
14,굿스테이,웨스턴호텔,군산시 옥서면 선연길 17,33,063-471-0715,www.western-inn.kr,"파티장, 휴게실, 골프연습실, 당구장","군산근대역사박물관, 새만금방조제",2015-08-30
15,굿스테이,프로방스,군산시 가도2길 9,40,063-466-3201,www.probangs.co.kr,없음,"군산근대역사박물관, 새만금방조제",2015-08-30
16,굿스테이,군산뉴그랜드모텔,군산시 장미1길 21,48,063-446-4397,blog.naver.com/newgrand1,사우나실,"군산근대역사박물관, 이성당 빵집, 일본식가옥",2015-08-30
17,굿스테이,왕궁온천장,익산시 왕궁면 온천길 38,32,063-291-5000,www.wgspa.co.kr,"세미나실, 한식당, 매점","미륵사지, 귀금속보석단지",2015-08-30
18,굿스테이,세르빌호텔,정읍시 내장산로 937,34,063-538-9487,www.내장산펜션.kr,세미나실,"내장산워터파크, 칠보 물테마유원지",2015-08-30
19,굿스테이,산정호텔,정읍시 태인면 태성리 152,31,063-534-4222,없음,식음료장,"내장산국립공원, 동학농민혁명기념관",2015-08-30
20,굿스테이,지리산칸호텔(구 지리산파크텔),남원시 산내면 지리산로 815,36,063-626-2114,www.jirisankhanhotel.com,"세미나실, 카페테리아, 노래방","지리산 뱀사골, 실상사, 달궁계곡, 노고단",2015-08-30
21,굿스테이,남원 한일파크,남원시 용성로 112-1,33,063-632-8462,없음,사우나실,"춘향테마파크, 광한루",2015-08-30
22,굿스테이,남원호텔,남원시 주천면 정령치로 122-11,36,063-626-8551,www.namwonhotel.com,"연회실, 한옥정자","지리산둘레길, 광한루, 산수유축제",2015-08-30
23,굿스테이,마이산콘도빌(구 마이산모텔),진안군 진안읍 마이산로 263,30,063-432-4201,마이산펜션.kr,식음료장,"마이산, 진안홍삼",2015-08-30
24,굿스테이,무주이리스모텔,무주군 무주읍 한풍루로 381-7,50,063-324-3400,없음,없음,"무주 반딧불 축제, 무주 전통공예테마파크, ",2015-08-30
25,굿스테이,장수온천호텔,장수군 번암면 장수로 673-14,30,063-353-5555,www.jangsuhotel.com,"식당, 사우나, 다목적실","덕유산국립공원, 방화동자연휴양림, 장안산",2015-08-30
26,굿스테이,영빈호텔,순창군 순창읍 순창로 222,36,063-653-6060,없음,없음,"강천산, 회문산, 고추장 민속마을, 섬진강향가유원지",2015-08-30
27,굿스테이,S모텔,순창군 순창읍 옥천로 33,30,063-653-3960,없음,비즈니스센터,"강천산, 회문산, 고추장 민속마을, 섬진강향가유원지",2015-08-30
28,굿스테이,채석리조텔오크빌,부안군 변산면 격포로 196,30,063-583-8046,www.csr063.co.kr,식음료장,"내소사, 개암사, 낙조대, 직소폭포, 변산해수욕장",2015-08-30
29,굿스테이,샤르모텔,부안군 부안읍 석정로 199-4,33,063-584-9931,없음,없음,"채석강, 내소사, 부안영상테마파크",2015-08-30
30,굿스테이,진안장여관,진안군 진안읍 진무로 1100-6,31,063-433-6776,없음,없음,"마이산, 진안홍삼, 운일암 반일암, 풍혈냉천",2016-07-29
31,굿스테이,파라다이스모텔,군산시 조촌1길 21,37,063-452-3388,없음,없음,"경암동 철길마을, 근대역사박물관, 동국사 등",2016-07-29
32,굿스테이,로망스모텔,남원시 옥정5길 12-8,32,063-631-2536,없음,없음,"춘향테마파크, 광한루",2016-07-29
33,굿스테이,발리모텔,남원시 향교동 177,30,063-625-7801,없음,없음,"춘향테마파크, 광한루",2016-07-29
